#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_worldbreaker;the Worldbreaker;;der Weltenbrecher;;;;;;;;;;;x
nick_the_serpent;the Serpent;;die Schlange;;;;;;;;;;;x
nick_the_black_hawk;the Black Hawk;;;;;;;;;;;;;;;x
nick_the_wild_hawk;the Wild Hawk;;;;;;;;;;;;;;;x
nick_the_white_hawk;the White Hawk;;;;;;;;;;;;;;;x
nick_the_black_wolf;the Black Wolf;;;;;;;;;;;;;;;x
nick_the_wild_wolf;the Wild Wolf;;;;;;;;;;;;;;;x
nick_the_white_wolf;the White Wolf;;;;;;;;;;;;;;;x
nick_the_black_bear;the Black Bear;;;;;;;;;;;;;;;x
nick_the_wild_bear;the Wild Bear;;;;;;;;;;;;;;;x
nick_the_white_bear;the White Bear;;;;;;;;;;;;;;;x
nick_the_black_tiger;the Black Tiger;;der schwarze Tiger;;;;;;;;;;;;;x
nick_the_wild_tiger;the Wild Tiger;;;;;;;;;;;;;;;x
nick_the_white_tiger;the White Tiger;;;;;;;;;;;;;;;x
